date,product_id,quantity,price
2024-01-01,3389,9,263.73
2024-01-02,7487,4,796.74
2024-01-03,1724,17,770.11
2024-01-04,4749,19,855.63
2024-01-05,3332,12,627.55
2024-01-06,3439,10,362.47
2024-01-07,5535,15,895.05
2024-01-08,6648,16,274.03
2024-01-09,1013,19,448.05
2024-01-10,8160,15,268.77
2024-01-11,6976,10,765.77
2024-01-12,3506,8,157.62
2024-01-13,1485,11,465.33
2024-01-14,1698,1,631.0
2024-01-15,3914,18,420.26
2024-01-16,9795,18,820.65
2024-01-17,5155,7,522.91
2024-01-18,1497,19,890.64
2024-01-19,4978,9,691.26
2024-01-20,2989,8,222.98
