date,product_id,quantity,price
2024-01-01,1163,19,615.77
2024-01-02,7120,12,753.72
2024-01-03,4372,11,178.88
2024-01-04,3563,3,257.35
2024-01-05,8152,12,273.75
2024-01-06,7901,17,678.37
2024-01-07,7429,9,907.57
2024-01-08,7739,2,277.29
2024-01-09,7881,10,641.01
2024-01-10,7584,6,241.15
2024-01-11,6522,5,554.55
2024-01-12,9376,7,660.75
2024-01-13,6396,12,650.34
2024-01-14,5913,12,661.36
2024-01-15,9492,16,639.89
2024-01-16,5637,11,584.37
2024-01-17,4209,1,914.36
2024-01-18,1731,14,635.08
2024-01-19,1945,4,210.94
2024-01-20,8232,10,701.47
2024-01-21,4862,2,461.97
2024-01-22,8822,7,820.69
2024-01-23,2809,18,940.98
2024-01-24,4060,3,910.7
2024-01-25,1860,17,311.07
2024-01-26,4037,17,111.22
2024-01-27,9329,7,351.79
2024-01-28,4067,15,189.76
2024-01-29,8515,18,878.69
2024-01-30,1436,6,526.83
2024-01-31,7639,5,487.78
2024-02-01,2188,7,970.87
2024-02-02,4329,19,716.2
2024-02-03,6955,3,639.14
2024-02-04,5544,5,453.04
2024-02-05,7837,15,963.45
2024-02-06,7024,2,308.17
2024-02-07,5750,7,111.48
2024-02-08,1092,15,207.83
2024-02-09,7816,4,830.3
2024-02-10,5458,20,685.7
2024-02-11,3795,20,759.88
2024-02-12,6269,15,788.38
2024-02-13,7986,17,785.56
2024-02-14,2754,20,277.36
2024-02-15,8535,4,279.47
2024-02-16,9768,16,993.63
2024-02-17,5301,12,390.49
2024-02-18,4473,18,247.6
2024-02-19,1578,2,657.36
2024-02-20,5719,14,752.55
2024-02-21,8326,17,459.9
2024-02-22,8427,7,654.77
2024-02-23,3053,12,392.67
2024-02-24,1550,14,606.93
2024-02-25,1179,12,362.62
2024-02-26,5148,11,157.54
2024-02-27,9341,11,229.83
2024-02-28,9420,11,584.53
2024-02-29,5726,13,605.35
2024-03-01,9132,12,905.59
2024-03-02,1427,7,702.36
2024-03-03,9008,17,965.78
2024-03-04,3462,19,785.45
2024-03-05,5749,4,455.16
2024-03-06,6697,14,779.4
2024-03-07,1381,14,284.87
2024-03-08,9432,9,637.64
2024-03-09,7660,2,864.25
2024-03-10,1429,19,276.51
2024-03-11,7077,16,687.87
2024-03-12,2510,5,457.4
2024-03-13,6219,16,375.04
2024-03-14,7300,9,218.69
2024-03-15,2384,1,324.79
2024-03-16,7404,8,543.83
2024-03-17,4513,17,856.25
2024-03-18,5012,8,751.23
2024-03-19,5823,8,160.11
2024-03-20,5980,9,947.44
2024-03-21,7772,16,599.78
2024-03-22,2992,19,923.67
2024-03-23,5117,13,794.62
2024-03-24,2153,6,635.87
2024-03-25,2766,11,299.35
2024-03-26,5507,5,956.66
2024-03-27,4687,14,183.26
2024-03-28,9478,2,324.2
2024-03-29,2923,10,917.14
2024-03-30,6307,10,627.18
2024-03-31,6999,5,479.34
2024-04-01,6683,15,822.52
2024-04-02,9265,8,997.42
2024-04-03,4981,18,912.85
2024-04-04,2196,11,273.7
2024-04-05,3203,11,448.75
2024-04-06,3109,17,661.47
2024-04-07,7677,2,117.61
2024-04-08,9028,13,936.63
2024-04-09,5772,13,487.05
2024-04-10,8121,6,656.11
2024-04-11,9934,1,527.55
2024-04-12,5471,8,893.27
2024-04-13,1435,14,629.68
2024-04-14,3013,9,295.57
2024-04-15,1914,18,777.02
2024-04-16,1148,5,762.15
2024-04-17,3704,2,343.06
2024-04-18,2901,12,552.37
2024-04-19,1749,13,568.67
2024-04-20,9217,19,134.63
2024-04-21,8409,20,697.32
2024-04-22,9254,13,137.24
2024-04-23,5397,19,490.27
2024-04-24,4348,17,972.72
2024-04-25,7767,18,277.04
2024-04-26,7698,5,630.75
2024-04-27,1922,18,688.19
2024-04-28,5649,10,708.17
2024-04-29,7678,18,894.05
2024-04-30,8604,6,626.83
2024-05-01,8597,15,968.44
2024-05-02,9321,9,503.84
2024-05-03,6511,17,980.86
2024-05-04,8536,10,100.22
2024-05-05,4030,14,504.08
2024-05-06,9783,14,174.93
2024-05-07,4169,15,122.76
2024-05-08,5031,14,735.16
2024-05-09,8154,9,686.1
2024-05-10,8003,1,662.99
2024-05-11,5099,16,714.1
2024-05-12,8320,1,466.22
2024-05-13,1830,9,772.86
2024-05-14,8301,10,772.66
2024-05-15,9648,19,156.75
2024-05-16,3649,7,119.29
2024-05-17,6438,15,879.75
2024-05-18,2984,10,194.95
2024-05-19,1632,19,937.67
2024-05-20,2210,6,170.0
2024-05-21,1653,17,743.97
2024-05-22,1428,17,431.16
2024-05-23,7703,18,811.47
2024-05-24,6977,19,307.74
2024-05-25,3049,6,361.77
2024-05-26,8917,10,728.25
2024-05-27,8032,1,540.3
2024-05-28,1677,12,928.37
2024-05-29,5210,5,683.51
2024-05-30,1245,17,665.81
2024-05-31,1863,1,836.16
2024-06-01,1146,6,160.85
2024-06-02,2579,8,302.86
2024-06-03,9681,12,505.58
2024-06-04,5333,1,246.78
2024-06-05,4271,1,168.19
2024-06-06,2857,6,859.94
2024-06-07,2470,9,677.12
2024-06-08,1860,4,707.11
2024-06-09,9709,16,168.54
2024-06-10,2976,16,732.35
2024-06-11,4124,8,858.63
2024-06-12,9419,15,428.04
2024-06-13,7688,8,847.65
2024-06-14,1925,19,934.15
2024-06-15,4426,9,464.08
2024-06-16,5171,4,800.34
2024-06-17,6527,3,461.05
2024-06-18,9102,12,513.67
2024-06-19,8423,16,272.79
2024-06-20,6130,19,746.85
2024-06-21,5334,4,732.57
2024-06-22,1608,5,473.99
2024-06-23,9201,13,180.89
2024-06-24,8167,10,846.54
2024-06-25,8587,1,911.49
2024-06-26,7853,3,102.63
2024-06-27,3624,5,610.7
2024-06-28,2854,2,526.26
2024-06-29,3408,19,911.87
2024-06-30,6542,7,325.27
2024-07-01,6100,20,679.54
2024-07-02,8780,7,723.04
2024-07-03,5748,5,156.57
2024-07-04,2152,17,145.14
2024-07-05,3812,10,507.01
2024-07-06,5924,11,636.53
2024-07-07,5325,11,255.12
2024-07-08,6102,18,413.98
2024-07-09,6033,4,383.2
2024-07-10,2720,2,206.75
2024-07-11,4732,7,566.88
2024-07-12,4251,3,351.85
2024-07-13,5361,16,549.68
2024-07-14,6846,20,776.45
2024-07-15,5392,3,835.47
2024-07-16,4757,16,527.41
2024-07-17,1828,7,663.82
2024-07-18,3489,19,908.44
2024-07-19,2105,5,120.64
2024-07-20,4079,4,249.81
2024-07-21,8706,3,224.42
2024-07-22,5197,20,610.99
2024-07-23,4677,19,248.52
2024-07-24,7067,12,334.25
2024-07-25,9772,3,344.76
2024-07-26,3168,9,778.46
2024-07-27,2732,16,875.01
2024-07-28,6046,5,451.96
2024-07-29,2065,6,133.82
2024-07-30,1246,14,582.52
2024-07-31,6520,3,461.68
2024-08-01,8511,10,777.97
2024-08-02,9223,5,232.09
2024-08-03,2705,12,185.01
2024-08-04,2120,4,610.3
2024-08-05,1791,16,385.13
2024-08-06,3956,12,182.59
2024-08-07,5902,19,127.36
2024-08-08,3513,6,512.49
2024-08-09,9493,1,829.22
2024-08-10,5486,12,700.96
2024-08-11,6751,5,750.52
2024-08-12,1634,5,878.0
2024-08-13,3113,20,408.71
2024-08-14,4483,5,359.81
2024-08-15,8749,3,863.64
2024-08-16,8539,5,189.2
2024-08-17,2093,1,294.5
2024-08-18,7823,3,841.53
